datetime,latitude,longitude,depth,magnitude1,magnitude2,max_intensity,district_id,region_id,description,time,time_diff_day
1998-03-30 04:48:16,17.551666666666666,179.09166666666667,537.0,6.5,,,9,,FIJI REGION              USGS,1998-03-30 04:48:16,4 days 16:35:51
1998-04-02 02:56:23,0.5433333333333333,99.26,56.0,6.2,6.9,,9,,"S SUMATERA, INDONESIA    USGS",1998-04-02 02:56:23,2 days 22:08:07
1998-04-02 07:42:56,40.315,74.87333333333333,9.0,6.2,6.0,,9,,OFF COAST OF S. CHILE    USGS,1998-04-02 07:42:56,0 days 04:46:33
1998-04-04 07:01:48,8.146666666666667,74.23666666666666,165.0,6.1,5.6,,9,,PERU-BRAZIL BORDER REG.  USGS,1998-04-04 07:01:48,1 days 23:18:52
1998-04-30 08:32:37,30.828333333333333,142.22333333333333,33.0,6.1,5.4,,8,331.0,NEAR TORISHIMA IS        NPS,1998-04-30 08:32:37,26 days 01:30:49
1998-05-04 08:30:18,22.37833333333333,125.43666666666668,35.0,7.7,,3.0,7,291.0,FAR S OFF ISHIGAKIJIMA   NPS,1998-05-04 08:30:18,3 days 23:57:41
1998-05-16 11:22:03,22.226666666666667,179.51833333333337,586.0,6.1,,,9,,SOUTH OF FIJI            USGS,1998-05-16 11:22:03,12 days 02:51:45
1998-05-21 14:34:25,0.2066666666666666,119.58333333333331,33.0,6.2,6.3,,9,,"MINAHASSA PEN.,SULAWESI  USGS",1998-05-21 14:34:25,5 days 03:12:22
1998-05-31 03:18:09,39.028333333333336,143.84666666666666,11.0,6.4,,2.0,2,63.0,FAR E OFF SANRIKU        NPS,1998-05-31 03:18:09,9 days 12:43:44
1998-06-01 14:34:03,52.888333333333335,160.06666666666666,44.0,6.2,6.3,,9,,OFF E COAST OF KAMCHATKA USGS,1998-06-01 14:34:03,1 days 11:15:54
1998-07-09 23:45:39,30.486666666666668,178.99333333333334,130.0,6.2,6.2,,9,,"KERMADEC ISL., N.Z.L.    USGS",1998-07-09 23:45:39,38 days 09:11:36
1998-07-16 20:56:36,11.04,166.16,110.0,6.4,6.7,,9,,SANTA CRUZ ISLANDS       USGS,1998-07-16 20:56:36,6 days 21:10:57
1998-07-25 03:44:04,21.648333333333333,121.94833333333334,131.0,6.2,5.1,,8,311.0,TAIWAN REGION,1998-07-25 03:44:04,8 days 06:47:28
1998-07-29 16:14:24,32.31166666666667,71.285,51.0,6.3,,,9,,NEAR COAST OF CEN. CHILE USGS,1998-07-29 16:14:24,4 days 12:30:20
1998-08-05 03:59:20,0.5916666666666667,80.39166666666667,33.0,6.2,7.1,,9,,NEAR COAST OF ECUADOR    USGS,1998-08-05 03:59:20,6 days 11:44:56
1998-08-20 15:40:53,28.89,139.91166666666666,467.0,7.1,6.0,3.0,8,332.0,W OFF OGASAWARA          NPS,1998-08-20 15:40:53,15 days 11:41:33
1998-08-23 14:36:12,14.696666666666667,120.045,70.0,6.1,,,9,,"LUZON,PHILIPPINE ISLANDS USGS",1998-08-23 14:36:12,2 days 22:55:19
1998-08-28 21:40:58,0.1533333333333333,125.01666666666668,66.0,6.2,,,9,,SOUTHERN MOLUCCA SEA     USGS,1998-08-28 21:40:58,5 days 07:04:46
1998-09-02 17:37:29,5.41,126.76333333333334,50.0,6.6,6.7,,9,,"MINDANAO, PHILIPPINE IS. USGS",1998-09-02 17:37:29,4 days 19:56:31
1998-09-03 16:58:17,39.805,140.9,8.0,6.2,4.9,6.0,2,48.0,NORTHERN IWATE PREF      NPS,1998-09-03 16:58:17,0 days 23:20:48
1998-09-04 02:37:58,29.45,71.715,27.0,6.2,6.6,,9,,NEAR COAST OF CEN. CHILE USGS,1998-09-04 02:37:58,0 days 09:39:41
1998-09-21 15:52:41,0.2616666666666666,122.46666666666668,147.0,6.1,,,9,,"MINAHASSA PEN.,SULAWESI  USGS",1998-09-21 15:52:41,17 days 13:14:43
1998-09-28 22:34:30,8.193333333333333,112.41166666666666,152.0,6.4,,,9,,"JAWA, INDONESIA          USGS",1998-09-28 22:34:30,7 days 06:41:49
1998-10-03 20:15:43,28.596666666666668,127.53833333333333,183.0,6.1,6.1,3.0,7,286.0,NW OFF AMAMI-OSHIMA IS   NPS,1998-10-03 20:15:43,4 days 21:41:13
1998-10-08 13:51:42,16.118333333333332,71.40333333333334,136.0,6.1,,,9,,SOUTHERN PERU            USGS,1998-10-08 13:51:42,4 days 17:35:59
1998-10-27 20:33:33,33.455,142.0,79.0,6.1,4.5,,8,329.0,FAR E OFF IZU ISLANDS    NPS,1998-10-27 20:33:33,19 days 06:41:51
1998-10-29 01:25:03,0.8383333333333333,125.965,33.0,6.2,6.2,,9,,NORTHERN MOLUCCA SEA     USGS,1998-10-29 01:25:03,1 days 04:51:30
1998-11-09 14:30:14,6.953333333333333,129.02166666666668,33.0,6.1,,,9,,BANDA SEA                USGS,1998-11-09 14:30:14,11 days 13:05:11
1998-11-09 14:38:44,6.92,128.945,33.0,6.4,7.0,,9,,BANDA SEA                USGS,1998-11-09 14:38:44,0 days 00:08:30
1998-11-20 00:39:18,22.851666666666667,125.75166666666668,0.0,6.5,6.4,2.0,7,291.0,FAR S OFF ISHIGAKIJIMA   NPS,1998-11-20 00:39:18,10 days 10:00:34
1998-11-29 23:10:31,2.07,124.89,33.0,6.5,7.7,,9,,CERAM SEA                USGS,1998-11-29 23:10:31,9 days 22:31:13
1998-12-06 09:47:13,1.2516666666666667,126.19666666666669,33.0,6.3,6.2,,9,,NORTHERN MOLUCCA SEA     USGS,1998-12-06 09:47:13,6 days 10:36:42
1998-12-27 09:38:26,21.631666666666668,176.375,144.0,6.1,,,9,,FIJI REGION              USGS,1998-12-27 09:38:26,20 days 23:51:13
1999-01-24 09:37:06,30.56833333333333,131.29,40.0,6.6,6.3,4.0,7,298.0,NEAR TANEGASHIMA ISLAND  NPS,1999-01-24 09:37:06,27 days 23:58:40
1999-01-28 17:10:05,52.885,169.12166666666667,67.0,6.3,6.1,,9,,"FOX ISLANDS,ALEUTIAN IS. USGS",1999-01-28 17:10:05,4 days 07:32:59
1999-02-07 06:47:59,12.851666666666668,166.69666666666666,90.0,6.3,7.3,,9,,SANTA CRUZ ISLANDS       USGS,1999-02-07 06:47:59,9 days 13:37:54
1999-03-02 16:12:18,35.678333333333335,142.13,53.0,6.3,5.3,1.0,3,113.0,FAR E OFF KANTO          NPS,1999-03-02 16:12:18,23 days 09:24:19
1999-03-04 14:38:26,28.341666666666665,57.19166666666667,33.0,6.2,6.5,,9,,SOUTHERN IRAN            USGS,1999-03-04 14:38:26,1 days 22:26:08
1999-03-04 17:52:01,5.3966666666666665,121.93666666666668,33.0,6.4,6.5,,9,,CELEBES SEA              USGS,1999-03-04 17:52:01,0 days 03:13:35
1999-03-20 19:47:45,51.586666666666666,177.66666666666666,33.0,6.3,6.8,,9,,"ANDREANOF IS., ALEUTIAN  USGS",1999-03-20 19:47:45,16 days 01:55:44
1999-03-24 05:15:22,29.56,128.31833333333333,0.0,6.1,5.6,2.0,7,286.0,NW OFF AMAMI-OSHIMA IS   NPS,1999-03-24 05:15:22,3 days 09:27:37
1999-03-29 04:05:11,30.511666666666667,79.40166666666667,15.0,6.4,6.6,,9,,XIJANG-INDIA BORDER      USGS,1999-03-29 04:05:11,4 days 22:49:49
1999-04-03 02:05:47,19.898333333333333,168.19166666666666,10.0,6.1,6.0,,9,,VANUATU (NEW HEBRIDES)   USGS,1999-04-03 02:05:47,4 days 22:00:36
1999-04-03 15:17:18,16.66,72.66166666666666,87.0,6.1,6.2,,9,,NEAR COAST OF PERU       USGS,1999-04-03 15:17:18,0 days 13:11:31
1999-04-05 20:08:04,5.59,149.56666666666666,150.0,6.2,7.0,,9,,"NEW BRITAIN, P.N.G.      USGS",1999-04-05 20:08:04,2 days 04:50:46
1999-04-08 22:10:34,43.55,130.99,633.0,7.1,7.2,2.0,8,319.0,NEAR VLADIVOSTOK         NPS,1999-04-08 22:10:34,3 days 02:02:30
1999-04-13 19:38:48,21.421666666666667,176.46,164.0,6.4,,,9,,FIJI REGION              USGS,1999-04-13 19:38:48,4 days 21:28:14
1999-04-21 04:04:08,31.886666666666667,179.04,96.0,6.2,,,9,,KERMADEC ISLANDS REGION  USGS,1999-04-21 04:04:08,7 days 08:25:20
1999-05-11 05:33:02,5.158333333333333,150.88,138.0,6.5,6.8,,9,,"NEW BRITAIN, P.N.G.      USGS",1999-05-11 05:33:02,20 days 01:28:54
1999-05-13 02:59:23,42.96666666666667,143.87,106.0,6.3,,4.0,1,8.0,KUSHIRO REGION           NPS,1999-05-13 02:59:23,1 days 21:26:21
1999-05-17 00:25:53,2.6416666666666666,138.21666666666667,59.0,6.1,6.2,,9,,"IRIAN JAYA, INDONESIA    USGS",1999-05-17 00:25:53,3 days 21:26:30
1999-06-16 05:42:05,18.385,97.435,70.0,6.4,6.5,,9,,CENTRAL MEXICO           USGS,1999-06-16 05:42:05,30 days 05:16:12
1999-06-18 19:55:25,5.513333333333334,126.63833333333334,33.0,6.1,6.1,,9,,"MINDANAO, PHILIPPINE IS. USGS",1999-06-18 19:55:25,2 days 14:13:20
1999-07-03 14:30:12,26.56833333333333,141.15666666666667,449.0,6.1,6.2,2.0,8,332.0,W OFF OGASAWARA          NPS,1999-07-03 14:30:12,14 days 18:34:47
1999-07-19 11:17:03,28.62833333333333,177.60666666666663,39.0,6.3,6.2,,9,,KERMADEC ISLANDS REGION  USGS,1999-07-19 11:17:03,15 days 20:46:51
1999-07-28 19:08:20,30.285,178.01333333333332,25.0,6.1,6.0,,9,,"KERMADEC ISL., N.Z.L.    USGS",1999-07-28 19:08:20,9 days 07:51:17
1999-08-17 09:01:39,40.74666666666667,29.863333333333333,17.0,6.3,7.8,,9,,TURKEY                   USGS,1999-08-17 09:01:39,19 days 13:53:19
1999-08-20 19:02:21,9.043333333333331,84.15833333333333,20.0,6.1,6.9,,9,,COSTA RICA               USGS,1999-08-20 19:02:21,3 days 10:00:42
1999-08-22 18:35:39,40.50833333333333,74.755,33.0,6.2,5.8,,9,,OFF COAST OF S. CHILE    USGS,1999-08-22 18:35:39,1 days 23:33:18
1999-08-22 21:40:45,16.116666666666667,168.03833333333333,33.0,6.3,6.2,,9,,VANUATU (NEW HEBRIDES)   USGS,1999-08-22 21:40:45,0 days 03:05:06
1999-09-21 02:47:28,23.876666666666665,120.93,0.0,7.7,7.2,2.0,8,311.0,TAIWAN REGION            NPS,1999-09-21 02:47:28,29 days 05:06:43
1999-09-21 03:03:44,23.57,121.29833333333332,33.0,6.3,,,8,,TAIWAN                   USGS,1999-09-21 03:03:44,0 days 00:16:16
1999-09-21 06:46:38,23.836666666666662,120.875,0.0,6.9,6.1,,8,311.0,TAIWAN REGION,1999-09-21 06:46:38,0 days 03:42:54
1999-09-22 09:14:38,23.683333333333334,120.85,61.0,6.6,6.1,1.0,8,311.0,TAIWAN REGION,1999-09-22 09:14:38,1 days 02:28:00
1999-09-26 08:52:51,23.848333333333333,120.995,70.0,6.6,6.0,1.0,8,311.0,TAIWAN REGION,1999-09-26 08:52:51,3 days 23:38:13
1999-10-01 01:31:15,16.058333333333334,96.93,61.0,6.5,7.5,,9,,"OAXACA, MEXICO           USGS",1999-10-01 01:31:15,4 days 16:38:24
1999-10-16 18:46:44,34.6,116.27,6.0,6.3,7.4,,9,,SOUTHERN CALIFORNIA      USGS,1999-10-16 18:46:44,15 days 17:15:29
1999-10-18 11:43:24,56.16333333333333,26.566666666666663,33.0,6.1,6.1,,9,,SOUTH SANDWICH ISLANDS   USGS,1999-10-18 11:43:24,1 days 16:56:40
1999-11-02 02:53:04,23.445,121.73833333333332,91.0,6.6,5.9,2.0,8,311.0,TAIWAN REGION,1999-11-02 02:53:04,14 days 15:09:40
1999-11-09 01:45:43,36.52166666666667,71.24,228.0,6.2,,,9,,AFGHANISTAN-TAJIKISTAN   USGS,1999-11-09 01:45:43,6 days 22:52:39
1999-11-13 01:57:19,40.75666666666667,31.16,10.0,6.3,7.5,,9,,TURKEY                   USGS,1999-11-13 01:57:19,4 days 00:11:36
1999-11-15 14:42:43,1.3383333333333334,88.975,10.0,6.3,6.9,,9,,SOUTH INDIAN OCEAN       USGS,1999-11-15 14:42:43,2 days 12:45:24
1999-11-26 22:21:15,16.421666666666667,168.21333333333334,33.0,6.4,7.3,,9,,VANUATU (NEW HEBRIDES)   USGS,1999-11-26 22:21:15,11 days 07:38:32
1999-11-30 13:01:53,18.9,69.17,128.0,6.2,,,9,,NORTHERN CHILE           USGS,1999-11-30 13:01:53,3 days 14:40:38
1999-12-07 08:12:33,57.41166666666667,154.48833333333334,66.0,6.8,,,9,,KODIAK ISLAND REGION     USGS,1999-12-07 08:12:33,6 days 19:10:40
1999-12-07 09:19:49,57.361666666666665,154.51333333333332,41.0,6.5,6.1,,9,,KODIAK ISLAND REGION     USGS,1999-12-07 09:19:49,0 days 01:07:16
1999-12-08 06:29:49,15.91,173.98333333333332,138.0,6.2,,,9,,TONGA                    USGS,1999-12-08 06:29:49,0 days 21:10:00
1999-12-12 03:03:36,15.765,119.74,33.0,6.5,7.1,,9,,"LUZON,PHILIPPINE ISLANDS USGS",1999-12-12 03:03:36,3 days 20:33:47
1999-12-21 23:14:57,6.845,105.555,56.0,6.2,6.3,,9,,SUNDA STRAIT             USGS,1999-12-21 23:14:57,9 days 20:11:21
2000-01-09 01:47:20,16.925,174.24666666666667,183.0,6.5,6.6,,9,,TONGA                    USGS,2000-01-09 01:47:20,18 days 02:32:23
2000-01-28 23:21:08,43.00666666666667,146.74333333333334,59.0,7.0,7.0,4.0,1,27.0,OFF NEMURO PENINSULA     NPS,2000-01-28 23:21:08,19 days 21:33:48
2000-02-06 20:33:52,5.843333333333334,150.875,33.0,6.6,6.8,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-02-06 20:33:52,8 days 21:12:44
2000-02-25 10:43:58,19.526666666666667,173.81666666666666,33.0,6.1,7.1,,9,,VANUATU REGION           USGS,2000-02-25 10:43:58,18 days 14:10:06
2000-03-04 07:09:13,7.32,128.49,142.0,6.4,5.8,,9,,BANDA SEA                USGS,2000-03-04 07:09:13,7 days 20:25:15
2000-03-04 07:22:40,6.816666666666666,143.80666666666667,10.0,6.3,6.7,,9,,"NEW GUINEA, P.N.G        USGS",2000-03-04 07:22:40,0 days 00:13:27
2000-03-21 14:26:07,3.155,128.03333333333333,103.0,6.1,5.3,,9,,"N HALMAHERA, INDONESIA   USGS",2000-03-21 14:26:07,17 days 07:03:27
2000-03-28 20:00:23,22.556666666666665,144.035,128.0,7.9,,3.0,8,334.0,IOTO ISLANDS REGION      NPS,2000-03-28 20:00:23,7 days 05:34:16
2000-04-23 18:27:23,28.306666666666665,62.99,609.0,6.6,,,9,,"SANTIAGO DEL ESTERO,ARG. USGS",2000-04-23 18:27:23,25 days 22:27:00
2000-05-04 13:21:16,1.105,123.57166666666669,26.0,6.7,7.5,,9,,"SULAWESI, INDONESIA      USGS",2000-05-04 13:21:16,10 days 18:53:53
2000-05-13 08:10:29,35.975,70.65666666666667,108.0,6.2,,,9,,"HINDU KUSH, AFGHANISTAN  USGS",2000-05-13 08:10:29,8 days 18:49:13
2000-06-03 17:54:47,35.68833333333333,140.745,48.0,6.1,6.1,5.0,3,110.0,NEAR CHOSHI CITY         NPS,2000-06-03 17:54:47,21 days 09:44:18
2000-06-05 01:28:26,4.72,102.08666666666667,33.0,6.8,8.0,,9,,"S SUMATERA, INDONESIA    USGS",2000-06-05 01:28:26,1 days 07:33:39
2000-06-05 01:39:45,4.645,102.10166666666667,33.0,6.7,,,9,,"S SUMATERA, INDONESIA    USGS",2000-06-05 01:39:45,0 days 00:11:19
2000-06-06 23:57:00,29.355,131.61833333333334,28.0,6.2,6.3,3.0,7,296.0,NEAR AMAMI-OSHIMA ISLAND NPS,2000-06-06 23:57:00,1 days 22:17:15
2000-06-07 06:16:43,36.825,135.56166666666667,21.0,6.2,,5.0,4,168.0,NW OFF HOKURIKU DISTRICT NPS,2000-06-07 06:16:43,0 days 06:19:43
2000-06-08 06:46:55,26.855,97.23666666666666,33.0,6.3,6.5,,9,,MYANMAR                  USGS,2000-06-08 06:46:55,1 days 00:30:12
2000-06-08 08:45:26,4.611666666666666,101.905,33.0,6.1,6.7,,9,,"S SUMATERA, INDONESIA    USGS",2000-06-08 08:45:26,0 days 01:58:31
2000-06-10 08:31:43,30.42,138.20833333333334,527.0,6.2,6.1,2.0,8,331.0,NEAR TORISHIMA IS        NPS,2000-06-10 08:31:43,1 days 23:46:17
2000-06-11 03:23:27,23.66,121.18166666666669,3.0,6.4,6.5,1.0,8,311.0,TAIWAN REGION,2000-06-11 03:23:27,0 days 18:51:44
2000-06-15 02:00:48,4.541666666666667,127.72166666666666,90.0,6.1,5.6,,9,,"TALAUD IS., INDONESIA    USGS",2000-06-15 02:00:48,3 days 22:37:21
2000-06-16 16:55:35,33.876666666666665,70.08666666666667,120.0,6.2,,,9,,CHILE-ARGENTINA BORDER   USGS,2000-06-16 16:55:35,1 days 14:54:47
2000-06-18 23:44:13,13.801666666666666,97.45166666666668,10.0,6.8,7.8,,9,,SOUTH INDIAN OCEAN       USGS,2000-06-18 23:44:13,2 days 06:48:38
2000-06-21 09:51:46,63.98,20.756666666666668,10.0,6.1,6.6,,9,,ICELAND                  USGS,2000-06-21 09:51:46,2 days 10:07:33
2000-07-01 16:01:56,34.19,139.19333333333333,16.0,6.5,,6.0,3,103.0,NEAR NIIJIMA ISLAND      NPS,2000-07-01 16:01:56,10 days 06:10:10
2000-07-08 00:46:44,51.41,179.97666666666666,31.0,6.4,5.5,,9,,"RAT ISLANDS,ALEUTIAN IS. USGS",2000-07-08 00:46:44,6 days 08:44:48
2000-07-09 03:57:44,34.211666666666666,139.23,15.0,6.1,5.7,6.0,3,103.0,NEAR NIIJIMA ISLAND      NPS,2000-07-09 03:57:44,1 days 03:11:00
2000-07-11 10:32:28,57.36833333333333,154.205,44.0,6.3,6.2,,9,,KODIAK ISLAND REGION     USGS,2000-07-11 10:32:28,2 days 06:34:44
2000-07-14 09:07:29,23.94333333333333,121.39333333333332,70.0,6.1,5.4,,8,311.0,TAIWAN REGION,2000-07-14 09:07:29,2 days 22:35:01
2000-07-15 10:30:32,34.42333333333333,139.24166666666667,10.0,6.3,6.4,6.0,3,103.0,NEAR NIIJIMA ISLAND      NPS,2000-07-15 10:30:32,1 days 01:23:03
2000-07-16 12:21:42,20.47833333333333,122.38666666666668,0.0,6.6,6.8,1.0,8,341.0,PHILIPPINE ISL REGION,2000-07-16 12:21:42,1 days 01:51:10
2000-07-16 12:57:45,7.746666666666666,150.91666666666666,10.0,6.3,6.4,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-07-16 12:57:45,0 days 00:36:03
2000-07-21 03:39:18,36.528333333333336,141.11833333333334,49.0,6.4,6.2,5.0,3,111.0,E OFF IBARAKI PREF       NPS,2000-07-21 03:39:18,4 days 14:41:33
2000-07-30 21:25:46,33.97,139.41,17.0,6.5,6.6,6.0,3,104.0,NEAR MIYAKEJIMA ISLAND   NPS,2000-07-30 21:25:46,9 days 17:46:28
2000-08-05 06:12:59,48.903333333333336,142.44166666666666,1.0,7.4,6.8,1.0,8,322.0,SOUTH SAKHALIN,2000-08-05 06:12:59,5 days 08:47:13
2000-08-06 16:27:13,28.82,140.085,445.0,7.2,6.3,4.0,8,332.0,W OFF OGASAWARA          NPS,2000-08-06 16:27:13,1 days 10:14:14
2000-08-07 23:33:55,7.016666666666667,123.35666666666668,649.0,6.5,,,9,,BANDA SEA                USGS,2000-08-07 23:33:55,1 days 07:06:42
2000-08-09 09:08:41,15.691666666666666,167.985,33.0,6.3,6.0,,9,,VANUATU (NEW HEBRIDES)   USGS,2000-08-09 09:08:41,1 days 09:34:46
2000-08-09 20:41:47,18.196666666666665,102.48,46.0,6.1,6.5,,9,,"MICHOACAN, MEXICO        USGS",2000-08-09 20:41:47,0 days 11:33:06
2000-08-18 10:52:22,34.2,139.24,12.0,6.1,4.6,6.0,3,103.0,NEAR NIIJIMA ISLAND      NPS,2000-08-18 10:52:22,8 days 14:10:35
2000-08-28 02:19:09,22.66,144.445,129.0,6.2,6.3,,8,334.0,IOTO ISLANDS REGION      NPS,2000-08-28 02:19:09,9 days 15:26:47
2000-08-29 00:05:47,4.11,127.39333333333332,16.0,6.5,6.8,,9,,BANDA SEA                USGS,2000-08-29 00:05:47,0 days 21:46:38
2000-09-10 17:54:45,24.12,121.46333333333334,67.0,6.2,5.8,1.0,8,311.0,TAIWAN REGION,2000-09-10 17:54:45,12 days 17:48:58
2000-09-26 15:17:52,17.176666666666666,173.92666666666668,56.0,6.1,6.1,,9,,TONGA                    USGS,2000-09-26 15:17:52,15 days 21:23:07
2000-10-05 01:58:44,15.42,166.91,23.0,6.1,6.9,,9,,VANUATU (NEW HEBRIDES)   USGS,2000-10-05 01:58:44,8 days 10:40:52
2000-10-06 13:30:17,35.27333333333333,133.34833333333333,9.0,7.3,7.4,6.5,6,222.0,WESTERN TOTTORI PREF     NPS,2000-10-06 13:30:17,1 days 11:31:33
2000-10-25 18:32:23,6.548333333333334,105.63,38.0,6.3,6.6,,9,,SUNDA STRAIT             USGS,2000-10-25 18:32:23,19 days 05:02:06
2000-10-27 13:21:54,26.61,141.44,413.0,6.3,6.5,2.0,8,333.0,NEAR CHICHIJIMA ISLAND,2000-10-27 13:21:54,1 days 18:49:31
2000-11-07 09:18:04,55.626666666666665,29.875,10.0,6.7,,,9,,SOUTH SANDWICH ISLANDS   USGS,2000-11-07 09:18:04,10 days 19:56:10
2000-11-09 03:36:22,23.215,124.20833333333331,24.0,6.3,5.1,,7,290.0,NEAR ISHIGAKIJIMA ISLAND NPS,2000-11-09 03:36:22,1 days 18:18:18
2000-11-14 00:57:22,42.431666666666665,144.94,41.0,6.1,,3.0,1,27.0,OFF NEMURO PENINSULA     NPS,2000-11-14 00:57:22,4 days 21:21:00
2000-11-16 16:42:16,5.2316666666666665,153.10166666666666,30.0,6.2,7.8,,9,,"NEW IRELAND, P.N.G.      USGS",2000-11-16 16:42:16,2 days 15:44:54
2000-11-18 06:01:56,5.495,151.78,33.0,6.2,8.0,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-11-18 06:01:56,1 days 13:19:40
2000-11-18 15:54:58,5.226666666666667,151.77,33.0,6.2,6.6,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-11-18 15:54:58,0 days 09:53:02
2000-11-26 03:10:47,40.16666666666666,49.95333333333333,33.0,6.2,6.3,,9,,EASTERN CAUCASUS         USGS,2000-11-26 03:10:47,7 days 11:15:49
2000-12-07 02:11:06,39.565,54.79833333333333,30.0,6.7,7.5,,9,,TURKMENISTAN             USGS,2000-12-07 02:11:06,10 days 23:00:19
2000-12-07 07:57:40,4.216666666666667,152.725,31.0,6.1,6.6,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-12-07 07:57:40,0 days 05:46:34
2000-12-18 10:19:21,21.176666666666662,179.1233333333333,628.0,6.4,,,9,,FIJI REGION              USGS,2000-12-18 10:19:21,11 days 02:21:41
2000-12-19 22:11:47,11.765,144.76,33.0,6.3,5.8,,9,,SOUTH OF THE MARIANAS    USGS,2000-12-19 22:11:47,1 days 11:52:26
2000-12-20 20:23:54,39.00666666666667,74.66166666666666,11.0,6.1,6.2,,9,,OFF COAST OF CEN. CHILE  USGS,2000-12-20 20:23:54,0 days 22:12:07
2000-12-21 10:01:27,5.705,151.12166666666667,33.0,6.4,6.5,,9,,"NEW BRITAIN, P.N.G.      USGS",2000-12-21 10:01:27,0 days 13:37:33
2000-12-22 19:13:02,44.46833333333333,147.40833333333333,141.0,6.1,5.6,4.0,1,24.0,NEAR ETOROFU ISLAND      NPS,2000-12-22 19:13:02,1 days 09:11:35
2001-01-01 15:57:04,6.8966666666666665,126.57833333333332,33.0,6.4,7.2,,9,,"MINDANAO, PHILIPPINE IS. USGS",2001-01-01 15:57:04,9 days 20:44:02
2001-01-10 01:49:28,14.926666666666666,167.17,103.0,6.3,6.6,,9,,VANUATU (NEW HEBRIDES)   USGS,2001-01-10 01:49:28,8 days 09:52:24
