DISTRICT NUMBER,DISTRICT NAME,REGION NUMBER,REGION NAME
4,CHUBU,156,SOUTHERN IZU PENINSULA
4,CHUBU,157,CENTRAL SHIZUOKA PREF
4,CHUBU,158,SW SHIZUOKA PREF
4,CHUBU,159,HAMANAKO LAKE REGION
4,CHUBU,160,NE AICHI PREF
4,CHUBU,161,CENTRAL AICHI PREF
4,CHUBU,162,MIKAWA BAY REGION
4,CHUBU,163,OFF N NIIGATA PREF
4,CHUBU,164,SADOGASHIMA IS REG
4,CHUBU,165,OFF S NIIGATA PREF
4,CHUBU,166,TOYAMA BAY REGION
4,CHUBU,167,OFF NOTO PENINSULA
4,CHUBU,168,NW OFF HOKURIKU DISTRICT
4,CHUBU,169,ENSYUNADA
4,CHUBU,170,FAR S OFF SHIZUOKA PREF
4,CHUBU,171,FAR S OFF TOKAI DISTRICT
4,CHUBU,172,S OF SURUGA BAY
4,CHUBU,173,SOUTHERN SURUGA BAY REG
4,CHUBU,174,NORTHERN SURUGA BAY REG
5,KINKI,181,WESTERN FUKUI PREF
5,KINKI,182,NORTHERN KYOTO PREF
5,KINKI,183,MID KYOTO PREF
5,KINKI,184,KYOTO OSAKA BORDER REG
5,KINKI,185,NORTHERN HYOGO PREF
5,KINKI,186,SW HYOGO PREF
5,KINKI,187,SE HYOGO PREF
5,KINKI,188,OSAKA PREF
5,KINKI,189,NE WAKAYAMA PREF
5,KINKI,190,NW WAKAYAMA PREF
5,KINKI,191,CENTRAL WAKAYAMA PREF
5,KINKI,192,SOUTHERN WAKAYAMA PREF
5,KINKI,193,SOUTHERN NARA PREF
5,KINKI,194,NORTHERN NARA PREF
5,KINKI,195,SE SHIGA PREF
5,KINKI,196,NW SHIGA PREF
5,KINKI,197,SHIGA GIFU BORDER REGION
5,KINKI,198,NORTHERN MIE PREF
5,KINKI,199,SHIMA PENINSULA REGION
5,KINKI,200,SOUTHERN MIE PREF
5,KINKI,201,NW OFF KINKI DISTRICT
5,KINKI,202,W PART OF WAKASA BAY
5,KINKI,203,E PART OF WAKASA BAY
5,KINKI,204,OSAKA BAY REGION
5,KINKI,205,AWAJISHIMA ISLAND REGION
5,KINKI,206,N PART OF KII CHANNEL
5,KINKI,207,S PART OF KII CHANNEL
5,KINKI,208,SE OFF KII PENINSULA
5,KINKI,209,ISE BAY REGION
6,"CHUGOKU, SHIKOKU",221,EASTERN TOTTORI PREF
6,"CHUGOKU, SHIKOKU",222,WESTERN TOTTORI PREF
6,"CHUGOKU, SHIKOKU",223,NE SHIMANE PREF
6,"CHUGOKU, SHIKOKU",224,SHIMANE HIROSHIMA BORDER
6,"CHUGOKU, SHIKOKU",225,SW SHIMANE PREF
6,"CHUGOKU, SHIKOKU",226,YAMAGUCHI PREF
6,"CHUGOKU, SHIKOKU",227,WESTERN HIROSHIMA PREF
6,"CHUGOKU, SHIKOKU",228,EASTERN HIROSHIMA PREF
6,"CHUGOKU, SHIKOKU",229,OKAYAMA PREF
6,"CHUGOKU, SHIKOKU",230,KAGAWA PREF
6,"CHUGOKU, SHIKOKU",231,TOKUSHIMA PREF
6,"CHUGOKU, SHIKOKU",232,SE KOCHI PREF
6,"CHUGOKU, SHIKOKU",233,MID KOCHI PREF
6,"CHUGOKU, SHIKOKU",234,SW KOCHI PREF
6,"CHUGOKU, SHIKOKU",235,SW EHIME PREF
6,"CHUGOKU, SHIKOKU",236,NE EHIME PREF
6,"CHUGOKU, SHIKOKU",237,OKINOSHIMA ISLAND REGION
6,"CHUGOKU, SHIKOKU",238,OFF E SAN'IN REGION
6,"CHUGOKU, SHIKOKU",239,OFF W SAN'IN REGION
6,"CHUGOKU, SHIKOKU",240,HARIMANADA SETONAIKAI
6,"CHUGOKU, SHIKOKU",241,HIUCHINADA SETONAIKAI
6,"CHUGOKU, SHIKOKU",242,AKINADA SETONAIKAI
6,"CHUGOKU, SHIKOKU",243,SUONADA SETONAIKAI
6,"CHUGOKU, SHIKOKU",244,IYONADA SETONAIKAI
6,"CHUGOKU, SHIKOKU",245,BUNGO CHANNEL
6,"CHUGOKU, SHIKOKU",246,TOSA BAY REGION
6,"CHUGOKU, SHIKOKU",247,S OFF SHIKOKU
6,"CHUGOKU, SHIKOKU",248,S OFF KII PENINSULA
6,"CHUGOKU, SHIKOKU",249,SE OFF SHIKOKU
7,"KYUSHU, OKINAWA.",261,NE FUKUOKA PREF
7,"KYUSHU, OKINAWA.",262,CENTRAL FUKUOKA PREF
7,"KYUSHU, OKINAWA.",263,SOUTHERN FUKUOKA PREF
7,"KYUSHU, OKINAWA.",264,NORTHERN ARIAKEKAI REG
7,"KYUSHU, OKINAWA.",265,SAGA PREF
7,"KYUSHU, OKINAWA.",266,NAGASAKI PREF
7,"KYUSHU, OKINAWA.",267,NEAR UNZENDAKE
7,"KYUSHU, OKINAWA.",268,AMAKUSA REGION
7,"KYUSHU, OKINAWA.",269,NW KUMAMOTO PREF
7,"KYUSHU, OKINAWA.",270,NE KUMAMOTO PREF
7,"KYUSHU, OKINAWA.",271,SOUTHERN KUMAMOTO PREF
7,"KYUSHU, OKINAWA.",272,EBINO REGION S KYUSHU
7,"KYUSHU, OKINAWA.",273,NW KAGOSHIMA PREF
7,"KYUSHU, OKINAWA.",274,NEAR KAGOSHIMA CITY
7,"KYUSHU, OKINAWA.",275,SATSUMA PENINSULA REGION
7,"KYUSHU, OKINAWA.",276,OSUMI PENINSULA REGION
7,"KYUSHU, OKINAWA.",277,SOUTHERN MIYAZAKI PREF
7,"KYUSHU, OKINAWA.",278,NORTHERN MIYAZAKI PREF
7,"KYUSHU, OKINAWA.",279,SOUTHERN OITA PREF
7,"KYUSHU, OKINAWA.",280,NORTHERN OITA PREF
7,"KYUSHU, OKINAWA.",281,NW OFF KYUSHU
7,"KYUSHU, OKINAWA.",282,GOTO ISLANDS REGION
7,"KYUSHU, OKINAWA.",283,W OFF AMAKUSA ISLAND
7,"KYUSHU, OKINAWA.",284,SW OFF KYUSHU
7,"KYUSHU, OKINAWA.",285,NEAR TOKARA ISLANDS
7,"KYUSHU, OKINAWA.",286,NW OFF AMAMI-OSHIMA IS
7,"KYUSHU, OKINAWA.",287,NW OFF OKINAWAJIMA IS
7,"KYUSHU, OKINAWA.",288,NW OFF MIYAKOJIMA ISLAND
7,"KYUSHU, OKINAWA.",289,NW OFF ISHIGAKIJIMA IS
7,"KYUSHU, OKINAWA.",290,NEAR ISHIGAKIJIMA ISLAND
7,"KYUSHU, OKINAWA.",291,FAR S OFF ISHIGAKIJIMA
7,"KYUSHU, OKINAWA.",292,FAR S OFF OKINAWAJIMA
7,"KYUSHU, OKINAWA.",293,NEAR MIYAKOJIMA ISLAND
7,"KYUSHU, OKINAWA.",294,NEAR OKINAWAJIMA ISLAND
7,"KYUSHU, OKINAWA.",295,NEAR MINAMI-DAITOJIMA IS
7,"KYUSHU, OKINAWA.",296,NEAR AMAMI-OSHIMA ISLAND
7,"KYUSHU, OKINAWA.",297,E OFF TANEGASHIMA ISLAND
7,"KYUSHU, OKINAWA.",298,NEAR TANEGASHIMA ISLAND
7,"KYUSHU, OKINAWA.",299,SE OFF OSUMI PEN
7,"KYUSHU, OKINAWA.",300,HYUGANADA REGION
7,"KYUSHU, OKINAWA.",301,FAR E OFF MIYAZAKI PREF
8,NEAR JAPAN,311,TAIWAN REGION
8,NEAR JAPAN,312,EAST CHINA SEA REGION
8,NEAR JAPAN,313,EASTERN CHINA
8,NEAR JAPAN,314,YELLOW SEA
8,NEAR JAPAN,315,S KOREAN PENINSULA REG
8,NEAR JAPAN,316,N KOREAN PENINSULA REG
8,NEAR JAPAN,317,NORTHEASTERN CHINA
8,NEAR JAPAN,318,SOUTHERN SIBERIA
8,NEAR JAPAN,319,NEAR VLADIVOSTOK
8,NEAR JAPAN,320,SEA OF JAPAN
8,NEAR JAPAN,321,EASTERN SEA OF JAPAN
8,NEAR JAPAN,322,SOUTH SAKHALIN
8,NEAR JAPAN,323,SOUTHERN SEA OF OKHOTSK
8,NEAR JAPAN,324,KURILE ISLANDS REGION
8,NEAR JAPAN,325,FAR SE OFF KURILE ISL
8,NEAR JAPAN,326,FAR SE OFF HOKKAIDO
8,NEAR JAPAN,327,FAR E OFF NORTH HONSHU
8,NEAR JAPAN,328,FAR E OFF CENTRAL HONSHU
8,NEAR JAPAN,329,FAR E OFF IZU ISLANDS
8,NEAR JAPAN,330,E OFF HACHIJOJIMA ISLAND
8,NEAR JAPAN,331,NEAR TORISHIMA IS
8,NEAR JAPAN,332,W OFF OGASAWARA
8,NEAR JAPAN,333,NEAR CHICHIJIMA ISLAND
8,NEAR JAPAN,334,IOTO ISLANDS REGION
8,NEAR JAPAN,335,FAR E OFF OGASAWARA
8,NEAR JAPAN,336,NORTH PACIFIC
8,NEAR JAPAN,337,MARIANA ISLANDS REGION
8,NEAR JAPAN,338,SHIKOKU BASIN
8,NEAR JAPAN,339,N PHILIPPINE BASIN
8,NEAR JAPAN,340,E OFF PHILIPPINE ISLANDS
8,NEAR JAPAN,341,PHILIPPINE ISL REGION
